NAME,ADDRESS,TINH,CITY
BHX 2/4 Lê Văn Lương,"2/4 Đường Lê Văn Lương, Xã Nhơn Đức, Huyện Nhà Bè, Thành phố Hồ Chí Minh, Việt Nam",TP. Hồ Chí Minh,TP. HO CHI MINH
BHX 4A Đường Số 11,"Số 4A Đường số 11, Khu phố 1, Phường Linh Tây, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",TP. Hồ Chí Minh,TP. HO CHI MINH
BHX 39 Lê Văn Chí,"39 Lê Văn Chí, Khu phố 3, Phường Linh Trung, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",TP. Hồ Chí Minh,TP. HO CHI MINH
BHX 99 Tăng Nhơn Phú,"99 Tăng Nhơn Phú , Khu Phố 2, Phường Phước Long B , Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",TP. Hồ Chí Minh,TP. HO CHI MINH
BHX C13/9 Đinh Đức Thiện,"C13/9 Đinh Đức Thiện, Ấp 3, Xã Bình Chánh, H. Bình Chánh (Cách quốc lộ 1A 550m",TP. Hồ Chí Minh,TP. HO CHI MINH
BHX 11 Tô Vĩnh Diện,"11 Đường Tô Vĩnh Diện, Khu phố 4, Phường Linh Chiểu, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",TP. Hồ Chí Minh,TP. HO CHI MINH
BHX 324/6 Thạnh Lộc,"324/6 Khu Phố 3, P. Thạnh Lộc, Q. 12",TP. Hồ Chí Minh,TP. HO CHI MINH
BHX 181 TTN17,"181 Đường TTN17, khu phố 4, Phường Tân Thới Nhất, Quận 12, Thầnh phố Hồ Chí Minh, Việt Nam",TP. Hồ Chí Minh,TP. HO CHI MINH
BHX 26/1 Nguyễn Thị Búp,"26/1 Nguyễn Thị Búp, P. Tân Chánh Hiệp, Q. 12 (Đối diện khu đô thị Hiệp Thành City",TP. Hồ Chí Minh,TP. HO CHI MINH
BHX 730 Lê Đức Thọ,"730/54 Lê Đức Thọ, P. 15, Q. Gò Vấp",TP. Hồ Chí Minh,TP. HO CHI MINH
BHX D11/4A Đoàn Nguyễn Tuấn,"D11/41A, Đoàn Nguyễn Tuấn, Ấp 4, Xã Hưng Long, Huyện Bình Chánh, Thành Phố Hồ Chí Minh , Việt Nam",TP. Hồ Chí Minh,TP. HO CHI MINH
BHX 2A Đường Số 5,"83 Đặng Văn Bi, Khu phố 5, Phường Trường Thọ, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",TP. Hồ Chí Minh,TP. HO CHI MINH
BHX 1267 Tỉnh Lộ 43,"1267 Tỉnh Lộ 43, Khu phố 2, Phường Bình Chiểu, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",TP. Hồ Chí Minh,TP. HO CHI MINH
BHX 288 Phan Huy Ích,"288 Phan Huy Ích, P. 12, Q. Gò Vấp (Đối diện cây xăng 22",TP. Hồ Chí Minh,TP. HO CHI MINH
BHX 1030 Tỉnh Lộ 43,"1030 Tỉnh lộ 43, Khu phố 1, Phường Bình Chiểu, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",TP. Hồ Chí Minh,TP. HO CHI MINH
BHX 224 Phạm Phú Thứ,"224 Phạm Phú Thứ, P. 4, Q. 6 (Cách mũi tàu Bình Tiên - Phạm Phú Thứ 10m",TP. Hồ Chí Minh,TP. HO CHI MINH
BHX C7/2-C7/3 Phạm Hùng,"C7 Phạm Hùng, Ấp 4, H. Bình Chánh (Cách chợ Tạm Ấp 4A - 400m cùng chiều hướng về Q. 8",TP. Hồ Chí Minh,TP. HO CHI MINH
BHX 26 Nguyễn Thượng Hiền,"26 Nguyễn Thượng Hiền, P. 1, Q. Gò Vấp (Ngay chung cư Nguyễn Thượng Hiền",TP. Hồ Chí Minh,TP. HO CHI MINH
BHX 175 Lê Đình Cẩn,"173A Lê Đình Cẩn, Khu Phố 6, Phường Tân Tạo, Quận Bình Tân, Thành phố Hồ Chí Minh, Việt Nam",TP. Hồ Chí Minh,TP. HO CHI MINH
BHX 2 Đường 16,"2 đường số 16, P. Bình Hưng Hòa A, Q. Bình Tân (Cạnh trường Chấp Cánh Ước Mơ",TP. Hồ Chí Minh,TP. HO CHI MINH
BHX 131 Chiến Lược,"131 Chiến Lược, Khu Phố 16, P. Bình Trị Đông, Q. Bình Tân (Cách ngã 3 Chiến Lược - Trương Phước Phan 400m",TP. Hồ Chí Minh,TP. HO CHI MINH
BHX 2/2 Phan Văn Hớn,"2/2 Phan Văn Hớn, Ấp Tiền Lân, Bà Điểm, H. Hóc Môn",TP. Hồ Chí Minh,TP. HO CHI MINH
BHX 27/10A Nguyễn Văn Bứa,"27/10A Nguyễn Văn Bứa, Xã Xuân Thới Sơn, H. Hóc Môn",TP. Hồ Chí Minh,TP. HO CHI MINH
BHX 225 Hưng Nhơn,"225 Hưng Nhơn, ấp 3, Xã Tân Kiên, Huyện Bình Chánh, Thành phố Hồ Chí Minh, Việt Nam",TP. Hồ Chí Minh,TP. HO CHI MINH
BHX 23/9A T.Thị Miếng,"23/9A Trịnh Thị Miếng, ấp Thới Tứ, Xã Thới Tam Thôn, Huyện Hóc Môn, Thành phố Hồ Chí Minh, Việt Nam",TP. Hồ Chí Minh,TP. HO CHI MINH
BHX 149/30 Ấp Chợ,Trung An,TP. Hồ Chí Minh,TP. HO CHI MINH
BHX 323 Lê Văn Thịnh,"319 – 323 Lê Văn Thịnh, khu phố 2, Phường Cát Lái, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",TP. Hồ Chí Minh,TP. HO CHI MINH
BHX 148 Phạm Hữu Lầu,"150 Phạm Hữu Lầu, Phường Phú Mỹ, Quận 7, Thành phố Hồ Chí Minh, Việt Nam",TP. Hồ Chí Minh,TP. HO CHI MINH
BHX 122 Lâm Văn Bền,"122 Lâm Văn Bền, Phuờng Tân Quy, Quận 7, Thành Phố Hồ Chí Minh, Việt Nam",TP. Hồ Chí Minh,TP. HO CHI MINH
BHX 02 Giồng Cát,"2 Giồng Cát, Tổ 1, Xã Tân Phú Trung, H. Củ Chi (Cách quốc lộ 22 - 20m",TP. Hồ Chí Minh,TP. HO CHI MINH
BHX 61A Phú Định,"61A đường Phú Định, Phường 16, Quận 8, Thành phố Hồ Chí Minh, Việt Nam",TP. Hồ Chí Minh,TP. HO CHI MINH
BHX 343 Lê Văn Lương,"343 Lê Văn Lương, P. Tân Quy, Q. 7 (Cách chung cư Hoàng Anh Gia Lai 1 100m",TP. Hồ Chí Minh,TP. HO CHI MINH
BHX A2/22 Trần Đại Nghĩa,"A2/22 Trần Đại Nghĩa, Ấp 4, Xã Tân Kiên, Huyện Bình Chánh, Thành phố Hồ Chí Minh, Việt Nam",TP. Hồ Chí Minh,TP. HO CHI MINH
BHX 10/33 Khu phố 3,"Số 10/19 và 10/33, Khu phố 3, Phường Tân Thới Nhất, Quận 12, Thành phố Hồ Chí Minh, Việt Nam",TP. Hồ Chí Minh,TP. HO CHI MINH
BHX 390 Nguyễn Oanh,"9A đường số 30, P. 6, Q. Gò Vấp (Cách cổng chào Đình An Nhơn (đối diện chợ An Nhơn 50m",TP. Hồ Chí Minh,TP. HO CHI MINH
BHX 35/1B Phan Văn Hớn,"35/1B Phan Văn Hớn, ấp 1, Xã Xuân Thới Thượng, Huyện Hóc Môn, Thành phố Hồ Chí Minh, Việt Nam",TP. Hồ Chí Minh,TP. HO CHI MINH
BHX 70 Hiệp Bình,"70 Hiệp Bình, Phường Hiệp Bình Chánh, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",TP. Hồ Chí Minh,TP. HO CHI MINH
BHX 43A Tân Hòa Đông,"43A Tân Hòa Đông, P. 14, Q. 6 (Đối diện chung cư 78",TP. Hồ Chí Minh,TP. HO CHI MINH
BHX 532 Nguyễn Văn Tạo,"532 Nguyễn Văn Tạo, ấp 2, xã Long Thới, Huyện Nhà Bè, Thành phố Hồ Chí Minh, Việt Nam",TP. Hồ Chí Minh,TP. HO CHI MINH
BHX 20 Hồ Văn Long,"20 - 22 Hồ Văn Long, Phường Tân Tạo, Quận Bình Tân, thành phố Hồ Chí Minh",TP. Hồ Chí Minh,TP. HO CHI MINH
BHX 458 Đường TTH02,"458 Tân Thới Hiệp 02, Khu Phố 3, P. Tân Chánh Hiệp, Q. 12 (Ngay góc chợ Hạt Điều Đường Dương Thị Mười",TP. Hồ Chí Minh,TP. HO CHI MINH
