NAME,ADDRESS,CITY_1
Dương Quảng Hàm,"392A Dương Quảng Hàm, Phường 05, Quận Gò Vấp, Thành phố Hồ Chí Minh",HỒ CHÍ MINH
Hoàng Anh Gia Lai,"D0012 Khu CHCC Hoàng Anh Gia Lai 3-New Sài Gòn, Xã Phước Kiển, Huyện Nhà Bè, Thành phố Hồ Chí Minh",HỒ CHÍ MINH
Hồng Lạc,"146 Hồng Lạc, Phường 11, Quận Tân Bình, Thành phố Hồ Chí Minh",HỒ CHÍ MINH
Nguyễn Hữu Cầu,"77 Nguyễn Hữu Cầu, Phường Tân Định, Quận 1, Thành phố Hồ Chí Minh",HỒ CHÍ MINH
Phú Mỹ Hưng,"SC02 Khu phố Garden Plaza 1, Phường Tân Phong, Quận 7, Thành phố Hồ Chí Minh",HỒ CHÍ MINH
Phan Xích Long,"280 Phan Xích Long, Phường 07, Quận Phú Nhuận, Thành phố Hồ Chí Minh",HỒ CHÍ MINH
Trần Cao Vân,"136 Hai Bà Trưng, Phường Đa Kao, Quận 1, Thành phố Hồ Chí Minh",HỒ CHÍ MINH
Thảo Điền,"Số 10 Thảo Điền, Phường Thảo Điền, Quận 2, Thành phố Hồ Chí Minh",HỒ CHÍ MINH
Bùi Minh Trực,"160 Bùi Minh Trực, Phường 05, Quận 8, Thành phố Hồ Chí Minh",HỒ CHÍ MINH
Tân Kỳ Tân Quý,"116 Tân Kỳ Tân Quý, Phường Sơn Kỳ, Quận Tân Phú, Thành phố Hồ Chí Minh",HỒ CHÍ MINH
Nguyễn Văn Đậu,"32 Nguyễn Văn Đậu , Phường 05, Quận Phú Nhuận, Thành phố Hồ Chí Minh",HỒ CHÍ MINH
Đường Số 1,"76 Đường số 1 , Phường Bình Trị Đông B, Quận Bình Tân, Thành phố Hồ Chí Minh",HỒ CHÍ MINH
Hoàng Diệu,"195 Hoàng Diệu, Phường 09, Quận 4, Thành phố Hồ Chí Minh",HỒ CHÍ MINH
Nguyễn Thiện Thuật,"249 Nguyễn Thiện Thuật, Phường 01, Quận 3, Thành phố Hồ Chí Minh",HỒ CHÍ MINH
Bùi Đình Túy,"171A Bùi Đình Túy , Phường 24, Quận Bình Thạnh, Thành phố Hồ Chí Minh",HỒ CHÍ MINH
Lũy Bán Bích,"360-362 Lũy Bán Bích, Phường Hòa Thạnh, Quận Tân Phú, Thành phố Hồ Chí Minh",HỒ CHÍ MINH
Hải Triều,"19 Hải Triều , Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh",HỒ CHÍ MINH
Nguyễn Oanh,"384 Nguyễn Oanh , Phường 6, Quận Gò Vấp, Thành phố Hồ Chí Minh",HỒ CHÍ MINH
Tô Ngọc Vân,"464 Tô Ngọc Vân , Phường Tam Phú, Quận Thủ Đức, Thành phố Hồ Chí Minh",HỒ CHÍ MINH
Trịnh Đình Trọng,"200 Trịnh Đình Trọng , Phường Phú Trung, Quận Tân Phú, Thành phố Hồ Chí Minh",HỒ CHÍ MINH
110 Phan Văn Trị,"110 Phan Văn Trị , Phường 14, Quận Bình Thạnh, Thành phố Hồ Chí Minh",HỒ CHÍ MINH
186 Phan Văn Trị,"186 Phan Văn Trị , Phường 12, Quận Bình Thạnh, Thành phố Hồ Chí Minh",HỒ CHÍ MINH
151 Đồng Đen,"151 Đồng Đen , Phường 13, Quận Tân Bình, Thành phố Hồ Chí Minh",HỒ CHÍ MINH
177-179 Trần Nhân Tôn,"177-179 Trần Nhân Tôn , Phường 02, Quận 10, Thành phố Hồ Chí Minh",HỒ CHÍ MINH
116 Nguyễn Thị Tần,"116 Nguyễn Thị Tần, Phường 02, Quận 8, Thành phố Hồ Chí Minh",HỒ CHÍ MINH
82 Nguyễn Văn Đậu,"82 Nguyễn Văn Đậu, Phường 07, Quận Bình Thạnh, Thành phố Hồ Chí Minh",HỒ CHÍ MINH
37 Vạn Kiếp,"37 Vạn Kiếp, Phường 03, Quận Bình Thạnh, Thành phố Hồ Chí Minh",HỒ CHÍ MINH
330 Phạm Văn Chiêu,"330 Đường Số 3, Phường 9, Quận Gò Vấp, Thành phố Hồ Chí Minh",HỒ CHÍ MINH
144 Phan Văn Hân,"144 Phan Văn Hân, Phường 17, Quận Bình Thạnh, Thành phố Hồ Chí Minh",HỒ CHÍ MINH
121 Phạm Phú Thứ,"121 Phạm Phú Thứ, Phường 11, Quận Tân Bình, Thành phố Hồ Chí Minh",HỒ CHÍ MINH
627 Tinh Lo 43,"627 Tỉnh Lộ 43, Phường Tam Bình, Quận Thủ Đức, Thành phố Hồ Chí Minh",HỒ CHÍ MINH
Lê Văn Thọ,"92 Lê Văn Thọ, Phường 11, Quận Gò Vấp, Thành phố Hồ Chí Minh",HỒ CHÍ MINH
Sky Garden 1,"Sc5-2 Khu phố SkyGarden 1016/5 Nguyễn Văn Linh, Phường Tân Phong, Quận 7, Thành phố Hồ Chí Minh",HỒ CHÍ MINH
827 Lê Đức Thọ,"827 Lê Đức Thọ, Phường 16, Quận Gò Vấp, Thành phố Hồ Chí Minh",HỒ CHÍ MINH
Vinhomes 1 - Park 6,"P6-SH12 Tầng trệt tòa Park 6 (B5.1.1) Dự án Vinhomes Central Park (khu phức hợp Tân cảng Sài Gòn), Phường 22, Quận Bình Thạnh, Thành phố Hồ Chí Minh",HỒ CHÍ MINH
55 Cầu Xéo,"55 Cầu Xéo, Phường Tân Quý, Quận Tân Phú, Thành phố Hồ Chí Minh",HỒ CHÍ MINH
02 Trúc Đường,"02 Trúc Đường, Phường Thảo Điền, Quận 2, Thành phố Hồ Chí Minh",HỒ CHÍ MINH
