Quận/Huyện,Địa chỉ
Quận 1,"38/1 bis Trần Khắc Chân, Phường Tân Định, Quận 1"
Quận 1,"56 Phó Đức Chính, Phường Nguyễn Thái Bình, Quận 1"
Quận 1,"39 Nguyễn Cư Trinh, Phường Nguyễn Cư Trinh, Quận 1"
Quận 2,"535 Nguyễn Thị Định, Phường Cát Lái, Quận 2"
Quận 2,"522 Nguyễn Duy Trinh, Ấp Đông, Phường Bình Trưng Đông, Quận 2"
Quận 2,"66 Đường 15 Phường An Phú, Quận 2"
Quận 2,"114 Nguyễn Duy Trinh, Phường Bình Trưng Tây, Quận 2"
Quận 3,"406C Cách Mạng Tháng 8, Phường 7, Quận 3"
Quận 3,"63 Trần Quang Diệu, Phường 13, Quận 3"
Quận 3,"268 Lê Văn Sỹ, Phường 14, Quận 3"
Quận 3,"112 Nguyễn Phúc Nguyên, Phường 9, Quận 3"
Quận 3,"250A Lý Chính Thắng, Phường 9, Quận 3"
Quận 4,"404 Nguyễn Tất Thành, Phường 18, Quận 4"
Quận 4,"2C Vĩnh Hội, Phường 3, Quận 4"
Quận 4,"288 Khánh Hội, Phường 5, Quận 4"
Quận 4,"209/13D Tôn Thất Thuyết, Phường 3, Quận 4"
Quận 5,"74 Trần Bình Trọng, Phường 1, Quận 5"
Quận 5,"25C Sư Vạn Hạnh, Phường 9, Quận 5"
Quận 6,"201 Minh Phụng, Phường 9, Quận 6"
Quận 6,"171 Gia Phú, Phường 1, Quận 6"
Quận 6,"210A Phạm Văn Chí, Phường 4, Quận 6"
Quận 6,"118A Văn Thân, Phường 8, Quận 6"
Quận 6,"163A Tân Hòa Đông, Phường 14, Quận 6"
Quận 7,"352 Lê Văn Lương, Phường Tân Hưng, Quận 7"
Quận 7,"35 Tân Mỹ, Phường Tân Phú, Quận 7"
Quận 7,"198/37 Nguyễn Văn Linh, Phường Tân Thuận Tây, Quận 7"
Quận 8,"126 Dương Bá Trạc, Phường 2, Quận 8"
Quận 8,"11N Nguyễn Thị Tần, Phường 2, Quận 8"
Quận 8,"769D Phạm Thế Hiển, Phường 4, Quận 8"
Quận 8,"44 Đường 643 Tạ Quang Bửu, Phường 4, Quận 8."
Quận 8,"8A Bùi Minh Trực, Phường 5, Quận 8"
Quận 8,"17 Huỳnh Thị Phụng, phường 4, quận 8"
Quận 8,"425 Hưng Phú, Phường 8, Quận 8."
Quận 8,"111-113 Hưng Phú, Phường 8, Quận 8"
Quận 8,"711 Ba Đình, P. 10, Q. 8"
Quận 8,"2 Bình Đông, Phường 15, Quận 8"
Quận 8,"83 Phong Phú, Phường 12, Quận 8"
Quận 8,"61 Cao Xuân Dục, Phường 12, Quận 8"
Quận 8,"02 & 04 đường số 13 (Tám Danh) P4, Quận 8"
Quận 9,"338 Đỗ Xuân Hợp, Phường Phước Long A, Quận 9"
Quận 9,"436 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9"
Quận 9,"29 Đường 18, Phường Phước Bình, Quận 9"
Quận 9,"75 Man Thiện, Phường Hiệp Phú, Quận 9"
Quận 9,"105 Dương Đình Hội, P. Phước Long B, Q. 9"
Quận 9,"Sky 9 apartment CT3, 01 đường số 01, P Phú Hữu, quận 9"
Quận 10,"131 Tô Hiến Thành, Phường 13, Quận 10"
Quận 11,"54 Lữ Gia, Phường 15, Quận 11"
Quận 11,"319 Lý Thường Kiệt, Phường 15, Quận 11"
Quận 11,"223 Tôn Thất Hiệp, Phường 12, Quận 11"
Quận 11,"9 Đường Số 2, Cư Xá Bình Thới, Phường 8, Quận 11"
Quận 11,"10 Đường Số 52, phường 15, quận 11"
Quận 11,"19 Nguyễn Văn Phú, Phường 5, Quận 11"
Quận 11,"203 Nguyễn Thị Nhỏ, Phường 16, Quận 11"
Quận 11,"109 Lạc Long Quân, P. 1, Q. 11"
Quận 12,"44 Tô Ký, Khu Phố 3, Phường Tân Chánh Hiệp, Quận 12"
Quận 12,"175 KP5, Phường Đông Hưng Thuận, Quận 12"
Quận Bình Tân,"221 Đường số 5, phường Bình Hưng Hòa, quận Bình Tân."
Quận Bình Thạnh,"169 Đường D1, Phường 25, Quận Bình Thạnh"
Quận Bình Thạnh,"45- 47 Vạn Kiếp, Phường 3,  Quận Bình Thạnh"
Quận Bình Thạnh,"156 Quốc lộ 13, Phường 26, Quận Bình Thạnh"
Quận Bình Thạnh,"43 Nguyễn Thượng Hiền, phường 9, quận Bình Thạnh."
Quận Bình Thạnh,"28 Đường 8, Phường 26, Quận Bình Thạnh"
Quận Bình Thạnh,"245D Chu Văn An, Phường 12, Quận Bình Thạnh."
Quận Bình Thạnh,"11 Phú Mỹ, Phường 22, Quận Bình Thạnh"
Quận Bình Thạnh,"31 Bùi Đình Túy, Phường 26, Quận Bình Thạnh"
Quận Bình Thạnh,"403 Chu Văn An, Phường 12, Quận Bình Thạnh"
Quận Gò Vấp,"179A Đường số 8, Phường 11, Quận Gò Vấp."
Quận Gò Vấp,"240 Phạm Văn Chiêu, Phường 9, Quận Gò Vấp"
Quận Gò Vấp,"338-340 Dương Quảng Hàm, P. 5, Q. Gò Vấp"
Quận Gò Vấp,"99A Huỳnh Khương An, Phường 5, Quận Gò Vấp"
Quận Gò Vấp,"921 Phạm Văn Bạch, Phường 12, Quận Gò Vấp"
Quận Gò Vấp,"383/7 Quang Trung, Phường 10, Quận Gò Vấp"
Quận Gò Vấp,"117/4 Đường Số 3 (Dương Quảng Hàm), Phường 5, Quận Gò Vấp"
Quận Gò Vấp,"634 Lê Văn Thọ, P. 13, Q. Gò Vấp"
Quận Gò Vấp,"708 Phan Văn Tri, Phường 10, Quận Gò Vấp"
Quận Phú Nhuận,"22 Phan Xích Long, Phường 3, Quận Phú Nhuận"
Quận Phú Nhuận,"141A02 Đặng Văn Ngữ, Phường 14, Quận Phú Nhuận"
Quận Phú Nhuận,"36 Nguyễn Văn Đậu, Phường 5, Quận Phú Nhuận"
Quận Phú Nhuận,"57-59 Nguyễn Trọng Tuyển, Phường 15, Quận Phú Nhuận"
Quận Phú Nhuận,"29 Đặng Văn Ngữ, Phường 10, Quận Phú Nhuận"
Quận Phú Nhuận,"553/73 Nguyễn Kiệm, phường 9, Quận Phú Nhuận"
Quận Tân Bình,"334 Cộng Hòa, Phường 13, Quận Tân Bình"
Quận Tân Bình,"63 Hoàng Hoa Thám, Phường 13, Quận Tân Bình"
Quận Tân Bình,"57 Thăng Long, Phường 4, Quận Tân Bình"
Quận Tân Bình,"103 Đồng Đen, Phường 12, Quận Tân Bình"
Quận Tân Bình,"92 Bành Văn Trân, Phường 17, Quận Tân Bình"
Quận Tân Bình,"9 Lê Bình, Phường 4, Quận Tân Bình"
Quận Tân Bình,"226D Lê Văn Sỹ, Phường 1, Quận Tân Bình"
Quận Tân Bình,"109F Phạm Văn Hai, Phường 13, Quận Tân Bình"
Quận Tân Bình,"76 Lê Bình, phường 4, quận Phú Nhuận."
Quận Tân Bình,"72 Thân Nhân Trung, Phường 13, Quận Tân Bình."
Quận Tân Bình,"58 Phạm Phú Thứ, Phường 11, Quận Tân Bình"
Quận Tân Bình,"5 Nguyễn Sỹ Sách, Phường 15, Quận Tân Bình"
Quận Tân Bình,"294 Hồng Lạc, Phường 11, Quận Tân Bình"
Quận Tân Phú,"230A Độc Lập, phường Tân Thành, quận Tân Phú"
Quận Tân Phú,"104 Trịnh Đình Trọng, Phường Phú Trung, Quận Tân Phú"
Quận Tân Phú,"164A Tân Kỳ Tân Quý, Phường Sơn Kỳ, Quận Tân Phú"
Quận Tân Phú,"47 Đường S11, Phường Tây Thạnh, Quận Tân phú"
Quận Tân Phú,"24 Hoa Bằng, phường Tân Sơn Nhì, quận Tân Phú."
Quận Tân Phú,"147 Lý Thánh Tông, P. Tân Thới Hoà, Q. Tân Phú"
Quận Tân Phú,"17 Khuông Việt, Phường Phú Trung, Quận Tân Phú"
Quận Thủ Đức,"43 Chương Dương, Linh Chiểu, Quận Thủ Đức"
Quận Thủ Đức,"18A Phú Châu, Phường Tam Phú, Quận Thủ Đức"
Quận Thủ Đức,"240 Hoàng Diệu 2, P. Linh Chiểu, Q. Thủ Đức"
Quận Thủ Đức,"357 Tô Ngọc Vân, P. Linh Đông, Q. Thủ Đức"
Quận Thủ Đức,"82 Đường số 17, P Linh Chiểu , Quận Thủ Đức"
Huyện Bình Chánh,48 Đường số 10 Bình Hưng Quận Bình Chánh
