STT,TINH,Địa chỉ
1,Hồ Chí Minh,"255 Nguyễn Hữu Trí (Giao Ngã Ba Đường Tân Túc), TT. Tân Túc, H. Bình Chánh, TP. Hồ Chí Minh"
2,Hồ Chí Minh,"295 Lê Hồng Phong (Ngay Ngã Tư Lê Hồng Phong - Hùng Vương), P. 2, Q. 10, TP. Hồ Chí Minh"
3,Hồ Chí Minh,"8/8 Nguyễn Thị Sóc (Đối Diện Chợ Đầu Mối Hóc Môn), X. Xuân Thới Đông, H. Hóc Môn, TP. Hồ Chí Minh"
4,Hồ Chí Minh,"129 Nguyễn Thị Tần (Gần Chợ Rạch Ông), P. Rạch Ông, Q. 8, TP. Hồ Chí Minh"
5,Hồ Chí Minh,"123 Nguyễn Ảnh Thủ (Cách Coop mart Hiệp Thành 500m), P. Hiệp Thành, Q. 12, TP. Hồ Chí Minh"
6,Hồ Chí Minh,"57-59 Huỳnh Tấn Phát (Ngay Ngã Ba Huỳnh Tấn Phát - Cầu Tân Thuận 1), P. Tân Thuận Đông, Q. 7, TP.Hồ Chí Minh"
7,Hồ Chí Minh,"NI 189 (Phòng 11) Cống Quỳnh (Gần Bệnh viện Từ Dũ), P. Nguyễn Cư Trinh, Q. 1, TP. Hồ Chí Minh"
8,Hồ Chí Minh,"39B Cao Thắng (Gần Ngã Tư Cao Thắng Và Nguyễn Đình Chiểu), P. 2, Q. 3, TP. Hồ Chí Minh"
9,Hồ Chí Minh,"226 Tân Hương, P. Tân Quý, Q. Tân Phú, TP. Hồ Chí Minh"
10,Hồ Chí Minh,"3 Bùi Bằng Đoàn (Đối Diện Karaoke Hoàng Triều), P. Tân Phong, Q. 7, TP. Hồ Chí Minh"
11,Hồ Chí Minh,"271-273 Chu Văn An (Gần Ngã Ba Phan Chu Trinh), P. 12, Q. Bình Thạnh, TP. Hồ Chí Minh"
12,Hồ Chí Minh,"305 Đoàn Văn Bơ, P. 13, Q. 4, TP. Hồ Chí Minh"
13,Hồ Chí Minh,"887 - 889 Võ Văn Vân (Cách Chợ Ấp 1 200m), X. Vĩnh Lộc B, H. Bình Chánh, TP. Hồ Chí Minh"
14,Hồ Chí Minh,"182 - 184 Minh Phụng (Cách Cầu Vượt Cây Gỏ 200m), P. 2, Q. 6, TP. Hồ Chí Minh"
15,Hồ Chí Minh,"1086 Lê Văn Lương (Đối Diện Gà Rán KFC Lê Văn Lương), X. Phước Kiển, H. Nhà Bè, TP. Hồ Chí Minh"
16,Hồ Chí Minh,"200A Bình Tiên (Ngay Ngã Ba Văn Thân - Bình Tiên), P.1, Q.6, TP. Hồ Chí Minh"
17,Hồ Chí Minh,"441 Điện Biên Phủ (Ngay Cầu vượt Hàng Xanh), P. 25, Q. Bình Thạnh, TP. Hồ Chí Minh"
18,Hồ Chí Minh,"1B Nguyễn Văn Bứa (Cạnh Chợ Nhị Xuân, Đối Diện Trường Thcs Nguyễn Văn Bứa), X. Xuân Thới Sơn, H. Hóc Môn, TP. Hồ Chí Minh"
19,Hồ Chí Minh,"995 Hoàng Sa (Ngay Ngã Ba Đường Đỗ Thị Lời Và Hoàng Sa), P. 11, Q. 3, TP. Hồ Chí Minh"
