Tên cửa hàng,Địa chỉ,Tỉnh,Quận/Huyện,Phường/Xã,Vĩ độ,Kinh độ,Google Maps,Giờ mở cửa,Giờ đóng cửa,SĐT,Zalo URL
Dương Quảng Hàm,392A Dương Quảng Hàm,Thành phố Hồ Chí Minh,Quận Gò Vấp,Phường 05,10.8326761,106.6856888,"https://maps.google.com/?q=10.8326761,106.6856888",06:00:00,23:30:00,18006821,https://zalo.me/0842366805
Hoàng Anh Gia Lai,D0012 Khu CHCC Hoàng Anh Gia Lai 3-New Sài Gòn,Thành phố Hồ Chí Minh,Huyện Nhà Bè,Xã Phước Kiển,10.7193852,106.7012126,"https://maps.google.com/?q=10.7193852,106.7012126",07:00:00,22:00:00,18006821,https://zalo.me/0842368260
Hồng Lạc,146 Hồng Lạc,Thành phố Hồ Chí Minh,Quận Tân Bình,Phường 11,10.7867154,106.6481259,"https://maps.google.com/?q=10.7868047,106.6482386",06:00:00,22:00:00,18006821,https://zalo.me/0901107542
Nguyễn Hữu Cầu,77 Nguyễn Hữu Cầu,Thành phố Hồ Chí Minh,Quận 1,Phường Tân Định,10.790434,106.690873,"https://maps.google.com/?q=10.790434,106.690873",06:00:00,23:30:00,18006821,https://zalo.me/0842365853
Phú Mỹ Hưng,SC02 Khu phố Garden Plaza 1,Thành phố Hồ Chí Minh,Quận 7,Phường Tân Phong,10.722235,106.712884,"https://maps.google.com/?q=10.722235,106.712884",07:00:00,22:00:00,18006821,https://zalo.me/0842365831
Phan Xích Long,280 Phan Xích Long,Thành phố Hồ Chí Minh,Quận Phú Nhuận,Phường 07,10.798359,106.689066,"https://maps.google.com/?q=10.798359,106.689066",06:00:00,23:30:00,18006821,https://zalo.me/0842365957
Trần Cao Vân,136 Hai Bà Trưng,Thành phố Hồ Chí Minh,Quận 1,Phường Đa Kao,10.784133,106.697043,"https://maps.google.com/?q=10.784133,106.697043",06:00:00,23:30:00,18006821,https://zalo.me/0842366791
Thảo Điền,Số 10 Thảo Điền,Thành phố Hồ Chí Minh,Quận 2,Phường Thảo Điền,10.802437,106.738164,"https://maps.google.com/?q=10.802437,106.738164",06:00:00,23:30:00,18006821,https://zalo.me/00842366295
Bùi Minh Trực,160 Bùi Minh Trực,Thành phố Hồ Chí Minh,Quận 8,Phường 05,10.7383184439,106.6587262386,"https://maps.google.com/?q=10.73831844,106.6587262",06:00:00,23:30:00,18006821,https://zalo.me/0842366197
Tân Kỳ Tân Quý,116 Tân Kỳ Tân Quý,Thành phố Hồ Chí Minh,Quận Tân Phú,Phường Sơn Kỳ,10.8035341106,106.6325424578,"https://maps.google.com/?q=10.80353411,106.6325425",06:00:00,23:00:00,18006821,https://zalo.me/0842366037
Nguyễn Văn Đậu,32 Nguyễn Văn Đậu ,Thành phố Hồ Chí Minh,Quận Phú Nhuận,Phường 05,10.805106,106.687149,"https://maps.google.com/?q=10.805106,106.687149",06:00:00,23:30:00,18006821,https://zalo.me/0842366087
Đường Số 1,76 Đường số 1 ,Thành phố Hồ Chí Minh,Quận Bình Tân,Phường Bình Trị Đông B,10.74852788,106.61835712,"https://maps.google.com/?q=10.74852788,106.6183571",06:00:00,23:30:00,18006821,https://zalo.me/0842365915
Hoàng Diệu,195 Hoàng Diệu,Thành phố Hồ Chí Minh,Quận 4,Phường 09,10.762701,106.703032,"https://maps.google.com/?q=10.762701,106.703032",06:00:00,23:30:00,18006821,https://zalo.me/0842366320
Nguyễn Thiện Thuật,249 Nguyễn Thiện Thuật,Thành phố Hồ Chí Minh,Quận 3,Phường 01,10.7692699245,106.6782914853,"https://maps.google.com/?q=10.76926992,106.6782915",06:00:00,23:30:00,18006821,https://zalo.me/0901108534
Bùi Đình Túy,171A Bùi Đình Túy ,Thành phố Hồ Chí Minh,Quận Bình Thạnh,Phường 24,10.807778,106.703859,"https://maps.google.com/?q=10.807778,106.703859",06:00:00,23:30:00,18006821,https://zalo.me/0842365918
Lũy Bán Bích,360-362 Lũy Bán Bích,Thành phố Hồ Chí Minh,Quận Tân Phú,Phường Hòa Thạnh,10.7757648845,106.6336136391,"https://maps.google.com/?q=10.77576488,106.6336136",06:00:00,23:30:00,18006821,https://zalo.me/0842367330
Hải Triều,19 Hải Triều ,Thành phố Hồ Chí Minh,Quận 1,Phường Bến Nghé,10.7718812545,106.7048755231,"https://maps.google.com/?q=10.77188125,106.7048755",06:00:00,23:30:00,18006821,https://zalo.me/0842365693
Nguyễn Oanh,384 Nguyễn Oanh ,Thành phố Hồ Chí Minh,Quận Gò Vấp,Phường 6,10.8428472718,106.6770144553,"https://maps.google.com/?q=10.84284727,106.6770145",07:00:00,23:00:00,18006821,https://zalo.me/0842366874
Tô Ngọc Vân,464 Tô Ngọc Vân ,Thành phố Hồ Chí Minh,Quận Thủ Đức,Phường Tam Phú,10.8622822323,106.74407613,"https://maps.google.com/?q=10.86228223,106.7440761",06:00:00,23:00:00,18006821,https://zalo.me/0842365944
Trịnh Đình Trọng,200 Trịnh Đình Trọng ,Thành phố Hồ Chí Minh,Quận Tân Phú,Phường Phú Trung,10.7758541905,106.6421469153,"https://maps.google.com/?q=10.77585419,106.6421469",06:00:00,23:00:00,18006821,https://zalo.me/0842366424
